Term,29c23697-0a63-493b-9ced-500612046e42,41ee531a-8d45-4067-8c0a-58e50eac58e7,5a739736-7a03-431e-8536-248d5f5eb218,4e4b68e7-e9f8-406a-b477-297d781fa67d,910bab8a-7927-4b42-9b62-b709ea0b7823,cd8531c9-894e-4e9d-bbc9-8471b99c11e3,a57303f3-c5ef-4418-ba3f-fde8e1596e03,8aa78510-515b-489f-9ecb-89e100f370d1,eed2c0ed-ca64-4bf3-b811-2c277b39e82b,33497299-202e-4799-bc63-a3bcf11c4c2a,
motive,1,0,0,0,1,0,0,1,1,1,
thieves,0,0,0,1,1,0,0,1,1,1,
shrinks,0,0,0,0,0,0,1,0,0,0,
root,1,1,1,0,1,0,1,0,1,0,
narines,0,0,0,0,0,0,0,0,1,0,
private—your,0,0,0,0,0,0,1,0,0,0,
pioneers,0,0,0,0,0,0,0,0,1,0,
à,0,0,0,0,0,0,0,0,1,0,
roof,1,0,0,0,1,0,1,0,0,0,
rood,1,1,0,0,0,0,0,0,0,0,
écoutez,0,0,0,0,0,0,0,0,1,0,
room,1,1,0,1,1,1,1,1,1,1,
deathdarting,0,0,0,0,0,1,0,0,0,0,
better,1,1,1,1,1,1,1,1,1,1,
mine’s,0,0,0,0,0,0,0,0,0,1,
unavoided,0,1,0,0,0,0,0,0,0,0,
chanson52,1,0,0,0,0,0,0,0,0,0,
creeps,0,0,0,0,1,0,0,0,0,0,
tarquins,0,0,0,0,0,0,1,0,0,0,
taking,1,1,0,0,1,1,1,1,0,0,
mummers,0,0,0,0,0,0,1,0,0,0,
madmen,0,0,0,0,0,0,0,1,0,0,
bestride,0,0,0,1,0,1,1,0,1,0,
woodmonger,0,0,0,0,0,0,0,0,1,0,
breadth,0,0,0,0,1,0,0,0,0,0,
mareschal,0,0,0,0,0,0,0,1,0,0,
pile,1,0,0,0,0,0,1,0,0,0,
cannot—the,0,0,0,0,0,0,1,0,0,0,
witching,1,0,0,0,0,0,0,0,0,0,
tripping,0,0,0,0,0,0,0,1,0,0,
liegemen,1,0,0,0,0,0,0,0,0,0,
discharged,1,0,0,0,1,0,1,0,0,0,
flashing,0,0,0,0,0,0,0,0,1,0,
flow,1,0,0,1,1,1,1,1,0,0,
order,1,1,1,1,1,1,0,1,1,1,
gory,0,0,0,0,0,1,0,0,0,0,
majestical,1,1,0,0,0,0,0,0,1,0,
faiths,0,0,0,0,0,0,0,0,1,0,
pike,0,0,0,0,0,0,0,0,1,0,
timid,1,0,0,0,0,0,0,0,0,0,
clo,1,0,0,0,0,0,0,0,0,0,
d’un,0,0,0,0,0,0,0,0,1,0,
gore,0,0,0,0,0,0,0,0,1,0,
reformed,1,0,1,0,0,0,0,0,0,0,
reform,1,0,0,1,0,0,0,0,0,0,
forerank,0,0,0,0,0,0,0,0,1,0,
conferr’d,0,0,0,0,0,0,0,1,0,0,
justicers,0,0,0,0,0,0,0,1,0,0,
absolv’d,0,0,0,0,0,1,0,0,0,0,
malevolent,0,0,0,1,0,0,0,0,0,0,
desp’rate,0,1,0,0,0,0,0,0,0,0,
ensue,1,0,0,0,0,0,0,0,0,1,
wear’st,0,1,0,0,0,0,0,1,1,0,
fruittree,0,0,0,0,0,1,0,0,0,0,
coach,1,0,0,0,0,0,0,0,0,0,
homage,0,0,1,0,1,0,0,0,1,1,
women,1,1,1,0,1,1,1,1,1,1,
pink,0,0,0,0,1,1,0,0,0,0,
woman,1,1,1,1,1,1,1,1,1,1,
pine,0,0,0,0,1,0,0,0,0,0,
dumps,0,0,0,0,0,1,0,0,0,0,
paledead,0,0,0,0,0,0,0,0,1,0,
soul59,1,0,0,0,0,0,0,0,0,0,
newappearing,0,1,0,0,0,0,0,0,0,0,
rots,1,0,0,0,0,0,0,0,0,0,
cmu,0,0,0,1,0,0,0,0,0,0,
pins,1,0,1,1,0,0,1,1,0,0,
protection,1,0,0,0,0,0,0,1,0,0,
pint,0,0,0,1,0,0,1,0,0,1,
buckles,0,0,0,0,1,0,0,0,0,0,
buckler,0,0,0,1,0,0,0,0,0,0,
honesty,1,1,1,1,1,1,0,1,0,1,
pottledeep,0,0,0,0,0,0,0,0,0,1,
surname,0,0,0,0,0,0,1,0,0,0,
venomd,1,0,0,0,0,0,0,0,0,0,
rote,0,0,0,0,0,1,0,0,1,0,
buckled,0,0,0,0,1,0,0,0,0,0,
adultery,0,0,0,0,0,0,0,1,1,0,
hastings,0,1,0,0,0,0,0,0,0,0,
implications,0,0,0,1,0,0,0,0,0,0,
question,1,0,1,1,1,1,1,1,1,1,
additions,1,1,1,1,1,1,1,1,1,1,
beholden,0,0,1,0,0,0,0,0,0,0,
whirlpool,0,0,0,0,0,0,0,1,0,0,
intellectual,1,1,1,1,1,1,1,1,1,1,
wishing,0,0,1,0,0,0,0,0,0,0,
womby,0,0,0,0,0,0,0,0,1,0,
picture,1,0,1,0,0,0,0,1,0,0,
walkst,0,0,0,1,0,0,0,0,0,0,
interchangeably,0,0,0,1,0,0,0,0,0,0,
scarecrows,0,0,0,1,0,0,0,0,0,0,
rose,1,1,0,1,1,1,0,0,0,1,
cog,0,1,0,0,0,0,1,0,0,0,
officious,0,0,0,0,0,0,1,0,0,0,
thousand,1,1,1,1,1,1,1,1,1,1,
soul61,1,0,0,0,0,0,0,0,0,0,
o’thing,0,0,0,0,0,0,0,1,0,0,
col,0,0,0,0,0,0,0,0,1,0,
rooting,0,1,0,0,0,0,0,0,0,0,
con,0,0,0,0,0,0,0,0,1,0,
cow,0,0,0,0,1,0,0,0,0,0,
angelical,0,0,0,0,0,1,0,0,0,0,
dunghill,0,0,0,0,0,0,0,1,0,0,
madman,0,0,0,0,0,1,0,1,0,0,
graces,1,1,1,0,1,0,1,1,0,1,
coy,0,0,1,0,0,0,0,0,0,0,
behoveful,0,0,0,0,0,1,0,0,0,0,
bruisd,0,0,0,1,0,0,0,0,0,0,
bruise,0,0,0,1,0,0,0,1,1,0,
homicide,1,1,0,0,0,0,0,0,0,0,
gown,0,0,1,1,0,1,1,0,0,1,
coz,0,0,0,1,0,1,0,0,1,0,
abilities,0,0,0,0,0,0,1,0,0,1,
liegeman,0,0,0,1,0,0,0,0,0,0,
leicester,0,1,0,0,0,0,0,0,0,0,
rove,0,0,0,0,0,0,1,0,0,0,
pipe,1,0,0,0,0,0,1,0,1,0,
graced,0,1,1,0,0,0,1,0,0,0,
palmers’,0,0,0,0,0,1,0,0,0,0,
pigeon,1,0,0,0,0,0,0,0,0,0,
actress,1,0,0,0,0,0,0,0,0,0,
circumstances,1,1,0,0,0,0,0,0,0,1,
timed,0,0,0,0,0,0,1,0,0,0,
’tween,0,1,0,0,1,0,0,1,1,1,
baltic,1,0,0,0,0,0,0,0,0,0,
conveniently,0,0,0,0,0,1,0,0,0,0,
pernicious,0,0,0,0,0,1,0,1,0,1,
rout,0,0,0,0,0,0,0,0,0,1,
plenty,0,1,0,0,0,0,0,0,0,0,
despatchd111,1,0,0,0,0,0,0,0,0,0,
christmas,1,0,0,0,0,0,0,0,0,0,
alexander’s,0,0,0,0,0,0,0,0,1,0,
rarity,0,0,0,0,0,0,0,1,0,0,
subornation,0,0,0,1,0,0,0,0,0,0,
became,0,1,1,1,1,0,0,1,0,0,
fatted,1,0,0,0,0,0,0,0,0,0,
faites,0,0,0,0,0,0,0,0,1,0,
remember’st,0,0,0,0,1,0,0,0,0,0,
hoyday,0,1,0,0,0,0,0,0,0,0,
stillwaking,0,0,0,0,0,1,0,0,0,0,
soulless,0,0,0,0,1,0,0,0,0,0,
aldermen,0,1,0,0,0,0,0,0,0,0,
renowned,0,1,0,0,1,0,1,0,1,0,
pother,0,0,0,0,0,0,1,0,0,0,
times,1,1,1,1,1,1,1,1,1,1,
footed,0,0,0,0,0,0,0,1,1,0,
debtor,0,0,0,0,1,0,0,0,0,0,
hirtius,0,0,0,0,1,0,0,0,0,0,
daubed,0,1,0,0,0,0,0,0,0,0,
that—,0,0,0,0,1,0,1,1,0,1,
them—and,0,0,0,0,0,0,0,0,1,0,
immured,0,1,0,0,0,0,0,0,0,0,
printers,1,0,1,0,0,0,0,0,0,0,
brains72,1,0,0,0,0,0,0,0,0,0,
pois’d,0,0,0,0,0,1,0,0,0,0,
whence,1,1,1,1,1,1,1,1,0,1,
bachelor,0,1,0,0,0,1,0,0,1,0,
dolabella,0,0,0,0,1,0,0,0,0,0,
cry,1,1,1,1,1,1,1,1,1,1,
yet—thou,0,0,0,0,0,0,1,0,0,0,
falchion,0,1,0,0,0,0,0,1,0,0,
cancels,0,0,0,1,0,0,0,0,0,0,
man—come,0,0,0,0,0,0,0,0,0,1,
potions,0,0,0,1,0,0,0,0,0,0,
harness,0,0,0,1,1,0,0,0,0,0,
impatience,0,1,0,1,1,0,1,0,0,0,
unbuild,0,0,0,0,0,0,1,0,0,0,
rowe,0,0,1,0,0,0,0,0,0,0,
son’s,0,0,0,0,1,1,0,0,0,0,
oernight,0,0,1,0,0,0,0,0,0,0,
splits,0,0,0,0,1,0,0,0,0,0,
fullness,0,0,0,0,0,0,0,0,1,0,
import—but,0,0,0,0,1,0,0,0,0,0,
pity,1,1,1,1,1,1,1,1,1,1,
pursust,1,0,0,0,0,0,0,0,0,0,
fairies,0,0,0,0,0,0,0,1,0,0,
uncertain,0,1,1,1,0,0,1,0,0,0,
stubble,0,0,0,1,0,0,1,0,0,0,
allonsnous,0,0,0,0,0,0,0,0,1,0,
beautiful,0,0,1,0,0,1,0,0,0,0,
beseeming,0,0,1,0,0,1,0,0,0,0,
23041,0,0,1,0,0,0,0,0,0,0,
strumpets,0,0,0,0,1,0,0,0,0,0,
23043,0,0,1,0,0,0,0,0,0,0,
dungy,0,0,0,0,1,0,0,0,0,0,
huntington,0,0,0,0,0,0,0,0,1,0,
sicyon,0,0,0,0,1,0,0,0,0,0,
pith,1,0,0,0,0,0,0,0,1,1,
strut,0,1,0,0,1,0,0,0,0,0,
accuses,0,0,0,0,1,0,0,0,0,0,
element,0,0,0,0,1,0,0,0,1,0,
answered—,0,0,0,0,0,0,1,0,0,0,
swells,0,0,0,0,1,0,0,1,0,0,
restraint,0,0,0,0,0,0,0,0,0,1,
cue,1,1,0,0,0,0,0,1,1,1,
vanities,0,0,0,1,0,0,0,0,1,0,
friar’s,0,0,0,0,0,1,0,0,0,0,
valance,1,0,0,0,0,0,0,0,0,0,
creating,1,1,1,1,1,1,1,1,1,1,
pickd,0,0,0,1,0,0,0,0,0,0,
archers,0,1,0,0,0,0,0,0,0,0,
pish,0,0,0,0,0,0,0,0,1,1,
infringe,0,1,0,0,0,0,1,0,0,0,
tyrrel,0,1,0,0,0,0,0,0,0,0,
courtney,0,1,0,0,0,0,0,0,0,0,
archery,1,0,0,0,0,0,0,0,0,0,
cup,1,1,0,1,1,1,1,1,1,1,
cur,0,1,1,0,0,0,1,1,1,0,
cut,1,1,1,1,1,1,1,1,1,1,
imponed,1,0,0,0,0,0,0,0,0,0,
rheumatic,0,0,0,0,0,0,0,0,1,0,
dread,1,1,0,1,1,0,0,1,1,1,
starve,0,0,0,1,0,1,1,1,0,0,
sottish,0,0,0,0,1,0,0,0,0,0,
suffred,0,0,0,1,0,0,0,0,0,0,
anticked,0,0,0,0,1,0,0,0,0,0,
twould,1,0,0,0,0,0,0,0,0,0,
reported,1,1,1,1,1,1,1,1,1,1,
distribute,1,1,1,1,1,1,1,1,1,1,
worried,0,0,0,0,0,0,0,0,1,0,
kitchen,0,0,0,0,0,1,1,0,0,0,
shout,0,1,0,0,1,0,1,0,0,0,
prevented,0,1,0,0,1,1,1,1,1,0,
19901993,0,0,0,1,0,0,0,0,0,0,
creation,1,1,1,1,1,1,1,1,1,1,
think,1,1,1,1,1,1,1,1,1,1,
presages,0,0,0,0,1,0,0,1,0,0,
ingredient,0,0,0,0,0,0,0,0,0,1,
accused,0,1,0,0,0,0,1,0,0,0,
librarian,0,0,1,0,0,0,0,0,0,0,
reporter,0,0,0,0,1,0,0,0,0,0,
wellspoken,0,1,1,0,0,0,0,0,0,0,
admiration93,1,0,0,0,0,0,0,0,0,0,
servanted,0,0,0,0,0,0,1,0,0,0,
mongrel,0,0,0,0,0,0,0,1,0,0,
torture,0,1,0,0,1,1,0,0,0,1,
phoenicians,0,0,0,0,1,0,0,0,0,0,
mistress,1,1,1,1,1,1,1,1,1,1,
unprovide,0,0,0,0,0,0,0,0,0,1,
unmanly,1,0,0,0,0,0,0,0,0,0,
bettre,0,0,0,0,0,0,0,0,1,0,
suborn,0,1,0,0,0,0,0,0,0,0,
thing,1,1,1,1,1,1,1,1,1,1,
thine,1,1,1,1,1,1,1,1,1,1,
thigh,0,0,0,1,0,1,0,0,0,1,
marring,0,0,0,0,1,0,0,0,0,0,
apparel,1,0,0,0,0,0,1,0,0,0,
workinghouse,0,0,0,0,0,0,0,0,1,0,
famously,0,1,0,0,0,0,1,0,0,0,
domestic,0,1,0,0,1,0,0,1,0,1,
whetted,0,1,0,0,0,0,0,0,0,0,
amends,0,1,1,0,0,0,0,0,0,1,
clamours,0,0,0,0,0,0,0,0,0,1,
shook,0,1,0,1,1,0,0,1,1,1,
paying,1,1,1,1,1,1,1,1,1,1,
holidays,0,0,0,1,0,0,0,0,0,0,
fellows,1,1,1,1,1,1,1,1,1,1,
budger,0,0,0,0,0,0,1,0,0,0,
shoot,0,0,0,0,0,0,0,1,0,0,
starts,1,1,0,0,1,1,1,1,1,0,
shoon,1,0,0,0,0,0,0,0,0,0,
meal—,0,0,0,0,1,0,0,0,0,0,
extincted,0,0,0,0,0,0,0,0,0,1,
princes—woe,0,0,0,0,0,0,0,0,1,0,
actual,1,1,1,1,1,1,1,1,1,1,
glass,1,1,1,0,0,0,0,1,1,0,
highreaching,0,1,0,0,0,0,0,0,0,0,
frailty,0,0,0,1,0,0,0,0,0,1,
opposites,0,0,0,0,0,0,0,1,0,0,
fumblest,0,0,0,0,1,0,0,0,0,0,
shops,0,0,0,0,0,0,1,0,0,0,
penitence,0,0,1,0,0,0,0,0,1,0,
assume,1,0,0,0,0,0,0,0,1,0,
would—,0,0,0,0,1,0,0,0,0,0,
angering,0,0,0,0,0,0,0,1,0,0,
cerements,1,0,0,0,0,0,0,0,0,0,
diningchamber,0,0,1,0,0,0,0,0,0,0,
mellow,0,1,0,0,0,0,1,0,0,0,
lecher,0,0,0,0,0,0,0,1,0,0,
memory,1,0,1,0,1,1,1,0,1,1,
kramer,0,0,0,1,0,0,0,0,0,0,
harlocks,0,0,0,0,0,0,0,1,0,0,
himlook,1,0,0,0,0,0,0,0,0,0,
practising,0,0,1,0,0,0,0,0,0,0,
indefinite,0,0,1,0,0,0,0,0,0,0,
disaster,0,0,0,0,1,0,0,0,0,0,
“right,1,1,1,1,1,1,1,1,1,1,
sandybottomd,0,0,0,1,0,0,0,0,0,0,
lifting,0,0,0,0,0,0,0,1,0,0,
progeny,0,0,0,0,0,0,1,0,0,0,
attends,0,0,1,0,0,1,1,0,1,1,
begnaw,0,1,0,0,0,0,0,0,0,0,
gentleness,0,0,0,0,0,0,0,1,0,0,
rackets,0,0,0,0,0,0,0,0,1,0,
offerings,0,0,0,1,0,0,0,0,0,0,
widens,0,0,0,0,0,0,1,0,0,0,
unstate,0,0,0,0,1,0,0,1,0,0,
disnatur’d,0,0,0,0,0,0,0,1,0,0,
shore,0,1,1,1,1,1,0,0,1,1,
libraries,0,0,1,0,0,0,0,0,0,0,
wonderwounded,1,0,0,0,0,0,0,0,0,0,
anothers,1,0,0,0,0,0,0,0,0,0,
purples,1,0,0,0,0,0,0,0,0,0,
earliest,0,0,0,0,0,0,0,0,0,1,
fiftyfold,0,0,0,0,1,0,0,0,0,0,
wrung,1,0,0,1,0,0,0,0,0,0,
marvel,1,1,0,1,0,0,0,1,0,0,
short,1,1,0,1,1,1,1,1,1,1,
allnoble,0,0,0,0,0,0,1,0,0,0,
enfranchise,0,1,1,0,1,0,0,0,0,0,
blemish,0,1,0,0,1,0,0,0,0,0,
relenting,0,1,0,0,0,0,0,0,0,0,
rak’d,0,0,0,0,0,0,0,0,1,0,
fencing,1,0,0,0,0,0,0,0,0,0,
swear’st,0,0,0,0,0,1,0,1,0,0,
abreast,0,0,0,0,0,0,0,0,1,0,
bunchbacked,0,1,0,0,0,0,0,0,0,0,
obstacles,0,1,0,0,0,0,0,0,0,0,
nicety,1,0,0,0,0,0,0,0,0,0,
extant,1,0,0,1,0,0,0,0,0,0,
consistency,1,0,0,0,0,0,0,0,0,0,
trains,1,0,0,0,0,0,0,0,0,0,
coats,0,0,0,1,0,0,0,0,1,1,
unkindest,0,0,1,0,0,0,0,0,0,0,
shippd,0,0,1,0,0,0,0,0,0,0,
myself—,0,1,0,0,0,0,0,0,0,0,
enter,1,1,1,1,1,1,1,1,1,1,
gallery,1,0,0,0,0,1,0,0,0,0,
myself”,0,0,0,0,1,0,0,0,0,0,
flowers,1,1,0,0,1,1,1,1,1,0,
yesterday—a,0,0,0,0,1,0,0,0,0,0,
wretch,1,1,0,0,1,1,1,1,1,1,
goodman,1,0,0,1,0,1,0,1,0,0,
dates,0,0,0,0,0,1,0,0,0,0,
’twere,0,1,0,0,1,1,1,0,1,1,
statesmen,0,0,0,0,0,0,0,0,0,1,
doings,0,0,0,0,0,0,1,0,0,0,
coast,0,1,0,0,0,0,0,0,0,0,
mellon,0,0,0,1,0,0,0,0,0,0,
guessingly,0,0,0,0,0,0,0,1,0,0,
traind,0,0,0,1,0,0,0,0,0,0,
unstaid,0,0,1,0,0,0,0,0,0,0,
columbines,1,0,0,0,0,0,0,0,0,0,
sorrows,1,1,1,0,1,1,0,1,0,1,
consortest,0,0,0,0,0,1,0,0,0,0,
redistribute,1,1,1,1,1,1,1,1,1,1,
bright,0,1,0,1,1,1,0,0,1,1,
tapsters,0,0,0,1,0,0,0,0,0,0,
servitor,0,1,0,0,0,0,0,0,0,1,
hazards,0,0,0,0,0,0,1,0,0,0,
frivolous,1,0,0,0,0,0,0,0,0,0,
assurd,0,0,0,1,0,0,0,0,0,0,
cockney,0,0,0,0,0,0,0,1,0,0,
assure,0,0,1,1,0,1,0,1,1,1,
pretext,0,0,0,0,0,0,1,0,0,0,
gracious,1,1,1,1,1,1,1,1,1,1,
crutch,0,0,0,0,0,1,1,0,0,0,
thou—to,0,0,0,0,0,0,0,0,0,1,
timepleasers,0,0,0,0,0,0,1,0,0,0,
tutors,0,0,0,0,0,0,0,1,0,0,
reaping,0,0,0,0,1,0,0,0,0,0,
malecontent,0,0,1,0,0,0,0,0,0,0,
performed,1,1,1,1,1,1,1,1,1,1,
m’estime,0,0,0,0,0,0,0,0,1,0,
inshelled,0,0,0,0,0,0,1,0,0,0,
unheedfully,0,0,1,0,0,0,0,0,0,0,
scales—of,0,1,0,0,0,0,0,0,0,0,
fetch,1,1,1,0,1,1,1,1,1,1,
tutord,0,0,1,0,0,0,0,0,0,0,
foresters,0,0,0,1,0,0,0,0,0,0,
earldom,0,1,0,0,0,0,0,0,0,0,
candied,1,0,0,0,0,0,0,0,0,0,
hanging,1,0,1,1,0,1,1,0,0,1,
pursuivantatarms,0,1,0,0,0,0,0,0,0,0,
prevalent,1,0,0,0,0,0,0,0,0,0,
showd,0,0,0,1,0,0,0,0,0,0,
compact,0,1,0,0,0,0,0,1,0,0,
possession,1,1,1,1,1,1,1,1,1,1,
dan,1,0,0,0,0,0,0,0,0,0,
dam,0,0,0,0,0,0,1,0,0,1,
shows,1,1,1,1,1,1,1,1,1,1,
emptiness,0,0,0,0,1,0,0,0,0,0,
shown,1,1,1,1,1,1,1,1,1,1,
shiver’d,0,0,0,0,0,0,0,1,0,0,
bedeck,0,0,0,0,0,1,0,0,0,0,
dat,0,0,0,0,0,0,0,0,1,0,
temper’d,0,0,0,0,0,1,0,0,1,0,
jordan,0,0,0,1,0,0,0,0,0,0,
audible,0,0,0,0,0,0,1,0,0,0,
newmarried,0,0,0,0,0,0,0,0,1,0,
goodnight,0,1,0,0,0,0,0,0,0,0,
pointing,1,0,0,0,1,0,0,1,0,0,
majesty,1,1,0,1,1,0,0,1,1,0,
day,1,1,1,1,1,1,1,1,1,1,
carols,1,0,0,0,0,0,0,0,0,0,
harelip,0,0,0,0,0,0,0,1,0,0,
nimble,0,0,0,1,0,1,0,1,1,0,
unkennel,1,0,0,0,0,0,0,0,0,0,
proteus3,0,0,1,0,0,0,0,0,0,0,
nimbly,0,1,0,1,0,0,0,0,0,0,
pygmy’s,0,0,0,0,0,0,0,1,0,0,
meekness,0,1,0,0,0,0,0,0,0,0,
pierced,0,0,0,0,0,0,0,0,0,1,
dancingschools,0,0,0,0,0,0,0,0,1,0,
perceive’t,0,0,0,0,1,0,0,0,0,0,
perceive’s,0,0,0,0,0,0,1,0,0,0,
